Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.955757E-01,9.834783E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.019440E+02,1.417581E-01,1.644648E+03,2.843057E+03
00:20:00,2.959677E-01,9.845731E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.054082E+02,1.381026E-01,1.597524E+03,2.786171E+03
00:30:00,2.963590E-01,9.856659E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.088724E+02,1.344972E-01,1.550998E+03,2.729804E+03
00:40:00,2.967507E-01,9.867599E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.123367E+02,1.309383E-01,1.505028E+03,2.673915E+03
00:50:00,2.971436E-01,9.878571E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.158009E+02,1.274226E-01,1.459573E+03,2.618346E+03
01:00:00,2.975382E-01,9.889590E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.192652E+02,1.239471E-01,1.414599E+03,2.562941E+03
01:10:00,2.978325E-01,9.897811E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.215746E+02,1.207459E-01,1.374055E+03,2.513040E+03
01:20:00,2.980918E-01,9.905054E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.238841E+02,1.176686E-01,1.334992E+03,2.464680E+03
01:30:00,2.983333E-01,9.911796E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.261936E+02,1.146856E-01,1.297055E+03,2.417400E+03
01:40:00,2.985563E-01,9.918024E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.285031E+02,1.117915E-01,1.260179E+03,2.371164E+03
01:50:00,2.987651E-01,9.923855E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.308126E+02,1.089824E-01,1.224317E+03,2.325922E+03
02:00:00,2.989636E-01,9.929397E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.331221E+02,1.062537E-01,1.189417E+03,2.281586E+03
02:10:00,2.991253E-01,9.933914E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.348542E+02,1.036535E-01,1.156628E+03,2.239703E+03
02:20:00,2.992684E-01,9.937907E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.365863E+02,1.011350E-01,1.124816E+03,2.198702E+03
02:30:00,2.993989E-01,9.941553E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.383185E+02,9.868575E-02,1.093830E+03,2.158409E+03
02:40:00,2.995242E-01,9.945050E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.400506E+02,9.630140E-02,1.063620E+03,2.118840E+03
02:50:00,2.996450E-01,9.948425E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.417827E+02,9.397772E-02,1.034134E+03,2.079971E+03
03:00:00,2.997613E-01,9.951672E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.435148E+02,9.171371E-02,1.005361E+03,2.041800E+03
03:10:00,2.998662E-01,9.954600E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.452469E+02,8.949501E-02,9.771289E+02,2.004065E+03
03:20:00,2.999669E-01,9.957414E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.469791E+02,8.731724E-02,9.493859E+02,1.966685E+03
03:30:00,3.000655E-01,9.960167E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.487112E+02,8.517887E-02,9.221133E+02,1.929654E+03
03:40:00,3.001614E-01,9.962845E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.504433E+02,8.307803E-02,8.952890E+02,1.892940E+03
03:50:00,3.002547E-01,9.965450E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.521754E+02,8.101313E-02,8.688940E+02,1.856511E+03
04:00:00,3.003457E-01,9.967990E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.539075E+02,7.898280E-02,8.429118E+02,1.820343E+03
04:10:00,3.003976E-01,9.969441E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.550623E+02,7.709187E-02,8.191720E+02,1.787121E+03
04:20:00,3.004365E-01,9.970526E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.562170E+02,7.526931E-02,7.962486E+02,1.754746E+03
04:30:00,3.004664E-01,9.971361E+03,3.252348E-02,0.000000E+00,0.000000E+00,3.252348E-02,9.573718E+02,7.350584E-02,7.740310E+02,1.723069E+03
