Time,LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:ROCHESTER INTERNATIONAL ARPT ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,8.374495E+03,1.718182E+03,2.955757E-01,1.417581E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221484E+01,3.833537E+01,2.388624E+01,5.175582E+01
00:20:00,8.385605E+03,1.673877E+03,2.959677E-01,1.381026E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221483E+01,3.832644E+01,2.388627E+01,5.194304E+01
00:30:00,8.396695E+03,1.630179E+03,2.963590E-01,1.344972E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221481E+01,3.831643E+01,2.388629E+01,5.213675E+01
00:40:00,8.407797E+03,1.587045E+03,2.967507E-01,1.309383E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221480E+01,3.831194E+01,2.388630E+01,5.233776E+01
00:50:00,8.418931E+03,1.544435E+03,2.971436E-01,1.274226E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221479E+01,3.831270E+01,2.388631E+01,5.254453E+01
01:00:00,8.430114E+03,1.502312E+03,2.975382E-01,1.239471E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221478E+01,3.831608E+01,2.388632E+01,5.275519E+01
01:10:00,8.438456E+03,1.463513E+03,2.978325E-01,1.207459E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221478E+01,3.832002E+01,2.388633E+01,5.296902E+01
01:20:00,8.445807E+03,1.426216E+03,2.980918E-01,1.176686E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221478E+01,3.831957E+01,2.388635E+01,5.318272E+01
01:30:00,8.452649E+03,1.390062E+03,2.983333E-01,1.146856E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221478E+01,3.831846E+01,2.388636E+01,5.339717E+01
01:40:00,8.458969E+03,1.354985E+03,2.985563E-01,1.117915E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221477E+01,3.831890E+01,2.388637E+01,5.361326E+01
01:50:00,8.464886E+03,1.320937E+03,2.987651E-01,1.089824E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221477E+01,3.832075E+01,2.388638E+01,5.383102E+01
02:00:00,8.470511E+03,1.287865E+03,2.989636E-01,1.062537E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221477E+01,3.832318E+01,2.388639E+01,5.404974E+01
02:10:00,8.475094E+03,1.256350E+03,2.991253E-01,1.036535E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221477E+01,3.832567E+01,2.388640E+01,5.427053E+01
02:20:00,8.479146E+03,1.225825E+03,2.992684E-01,1.011350E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221477E+01,3.832446E+01,2.388641E+01,5.448928E+01
02:30:00,8.482846E+03,1.196140E+03,2.993989E-01,9.868575E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221477E+01,3.832257E+01,2.388642E+01,5.470690E+01
02:40:00,8.486395E+03,1.167241E+03,2.995242E-01,9.630140E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221476E+01,3.832193E+01,2.388644E+01,5.492556E+01
02:50:00,8.489820E+03,1.139077E+03,2.996450E-01,9.397772E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221476E+01,3.832269E+01,2.388645E+01,5.514645E+01
03:00:00,8.493115E+03,1.111637E+03,2.997613E-01,9.171371E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221476E+01,3.832422E+01,2.388646E+01,5.536987E+01
03:10:00,8.496086E+03,1.084746E+03,2.998662E-01,8.949501E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221476E+01,3.832598E+01,2.388647E+01,5.559576E+01
03:20:00,8.498942E+03,1.058351E+03,2.999669E-01,8.731724E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221476E+01,3.832672E+01,2.388649E+01,5.582413E+01
